des,name,diameter_m,diameter_estimated,vi_datetime_utc,ip_max,ps_max,vel_km_s,years_range,ip_cum,ps_cum,date,mjd,sigma,sigimp,dist_re,width_re,stretch_re,p_re,exp_energy_mt,ps,ts
1979XB,,500.0,True,2056-12-12 21:38,2.34e-07,-2.82,27.54,2056-2113,7.34e-07,-2.7,2065-12-16.463,75635.463,-1.11,0.0,1.1,0.091,35800000.0,2.72e-09,12100.0,-5.39,0
1979XB,,500.0,True,2056-12-12 21:38,2.34e-07,-2.82,27.54,2056-2113,7.34e-07,-2.7,2101-12-14.204,88781.204,-0.384,0.0,0.61,0.0,197000000.0,3.46e-09,24900.0,-5.3,0
1979XB,,500.0,True,2056-12-12 21:38,2.34e-07,-2.82,27.54,2056-2113,7.34e-07,-2.7,2113-12-14.753,93164.753,-0.706,0.0,0.25,0.028,1370000.0,4.94e-07,17800.0,-3.33,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2069-09-18.497,77007.497,-3.737,0.0,6.24,0.001,7970.0,5.38e-07,1.07,-6.38,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2070-09-17.325,77371.325,-1.546,0.0,4.7,0.001,5870.0,0.000289,1.07,-3.66,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2071-02-08.711,77515.711,-3.767,0.0,6.42,0.002,258000.0,1.43e-08,1.07,-7.97,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2071-09-10.379,77729.379,0.818,0.0,7.54,0.004,19000.0,0.000125,1.06,-4.04,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2071-09-16.038,77735.038,0.958,0.0,3.37,0.001,4170.0,0.000895,1.07,-3.18,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2072-02-03.494,77875.494,-1.648,0.0,1.71,0.002,475000.0,3.48e-06,1.07,-5.59,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2072-02-10.736,77882.736,-3.818,0.0,1.88,0.006,840000.0,5.2e-09,1.07,-8.42,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2072-02-14.368,77886.368,-3.776,0.0,5.6,0.004,153000.0,3.25e-08,1.07,-7.62,0
