sigma_vi,id,des,ps,ts,method,energy,ip,fullname,sigma_mc,date
0.4881,bK22A00U,2022 AU,-9.82,0,IOBS,3.844e-03,2.849e-08,(2022 AU),,2100-01-04.32
0.4686,bK22A00U,2022 AU,-9.76,0,IOBS,3.842e-03,3.325e-08,(2022 AU),,2100-01-04.27
0.8548,bK22A00U,2022 AU,-10.62,0,IOBS,3.841e-03,4.564e-09,(2022 AU),,2100-01-04.19
0.3154,bK22A00U,2022 AU,-7.76,0,IOBS,3.841e-03,3.287e-06,(2022 AU),,2099-01-04.10
1.0691,bK22A00U,2022 AU,-7.92,0,IOBS,3.845e-03,2.210e-06,(2022 AU),,2098-01-03.99
0.7074,bK22A00U,2022 AU,-9.64,0,IOBS,3.847e-03,4.182e-08,(2022 AU),,2098-01-03.93
3.1196,bK22A00U,2022 AU,-9.69,0,IOBS,3.816e-03,3.801e-08,(2022 AU),,2098-01-03.91
0.0592,bK22A00U,2022 AU,-8.83,0,IOBS,3.838e-03,2.759e-07,(2022 AU),,2098-01-03.90
0.2342,bK23S05M,2023 SM5,-5.94,0,IOBS,2.078e-01,1.127e-05,(2023 SM5),,2118-09-24.50
0.6149,bK23S05M,2023 SM5,-7.42,0,IOBS,2.077e-01,3.845e-07,(2023 SM5),,2122-09-24.47
0.0977,bK21X06D,2021 XD6,-7.83,0,IOBS,7.997e-03,1.954e-06,(2021 XD6),,2118-12-11.60
0.1366,bK21X06D,2021 XD6,-8.69,0,IOBS,8.010e-03,2.522e-07,(2021 XD6),,2111-12-09.46
0.1556,bK24A00D,2024 AD,-7.66,0,IOBS,7.441e-03,3.212e-06,(2024 AD),,2124-01-07.84
0.9577,bK24A00D,2024 AD,-9.72,0,IOBS,7.454e-03,2.831e-08,(2024 AD),,2124-01-07.55
0.8095,bK24A00D,2024 AD,-8.64,0,IOBS,7.484e-03,3.369e-07,(2024 AD),,2123-01-07.16
1.8560,bK24A00D,2024 AD,-10.43,0,IOBS,7.477e-03,5.486e-09,(2024 AD),,2123-01-06.91
1.8071,bK24A00D,2024 AD,-8.11,0,IOBS,7.441e-03,1.124e-06,(2024 AD),,2121-01-06.94
1.5000,bK24A00D,2024 AD,-10.80,0,IOBS,7.448e-03,2.109e-09,(2024 AD),,2115-01-07.26
1.8397,bK22R02D,2022 RD2,-7.69,0,IOBS,5.642e-03,3.828e-06,(2022 RD2),,2124-10-09.40
0.3956,bK22R02D,2022 RD2,-7.05,0,IOBS,5.642e-03,1.681e-05,(2022 RD2),,2124-10-30.45
1.1382,bK22R02D,2022 RD2,-7.79,0,IOBS,5.640e-03,3.030e-06,(2022 RD2),,2124-10-09.67
1.7605,bK21X05Z,2021 XZ5,-10.19,0,IOBS,1.159e-02,6.614e-09,(2021 XZ5),,2121-12-10.49
3.6320,bK21X05Z,2021 XZ5,-10.29,0,IOBS,1.143e-02,5.375e-09,(2021 XZ5),,2122-06-09.48
0.9740,bK21U00T,2021 UT,-9.36,0,IOBS,4.124e-03,9.711e-08,(2021 UT),,2117-04-14.74
0.6053,bK21U00T,2021 UT,-9.14,0,IOBS,4.117e-03,1.612e-07,(2021 UT),,2117-04-09.05
0.6806,bK21U00T,2021 UT,-9.23,0,IOBS,4.122e-03,8.820e-08,(2021 UT),,2087-10-23.51
1.8558,bK21U00T,2021 UT,-8.15,0,IOBS,4.122e-03,1.039e-06,(2021 UT),,2085-10-22.51
0.5840,bK21U00T,2021 UT,-9.01,0,IOBS,4.119e-03,1.390e-07,(2021 UT),,2084-10-22.34
0.6794,bK21U00T,2021 UT,-9.56,0,IOBS,4.127e-03,3.695e-08,(2021 UT),,2080-10-22.69
3.1648,bK21U00T,2021 UT,-9.92,0,IOBS,4.111e-03,1.480e-08,(2021 UT),,2076-10-22.42
0.3431,bK21U00T,2021 UT,-9.67,0,IOBS,4.113e-03,2.247e-08,(2021 UT),,2068-04-13.40
3.1926,bK21U00T,2021 UT,-9.04,0,IOBS,4.120e-03,7.968e-08,(2021 UT),,2061-10-23.08
2.4939,bK21U00T,2021 UT,-9.55,0,IOBS,4.130e-03,2.397e-08,(2021 UT),,2060-10-22.45
2.4831,bK21U00T,2021 UT,-7.34,0,IOBS,4.133e-03,3.085e-06,(2021 UT),,2053-10-22.77
3.2156,bK05T50K,2005 TK50,-7.71,0,IOBS,1.412e-02,1.434e-06,(2005 TK50),,2106-03-15.63
0.1690,bK08H00J,2008 HJ,-7.04,0,IOBS,4.000e-01,5.520e-07,(2008 HJ),,2123-05-04.24
0.1623,bK08H00J,2008 HJ,-6.94,0,IOBS,4.000e-01,6.998e-07,(2008 HJ),,2123-05-04.24
2.5140,bK08H00J,2008 HJ,-9.06,0,IOBS,4.012e-01,5.047e-09,(2008 HJ),,2119-05-04.37
1.4618,bK08H00J,2008 HJ,-8.51,0,IOBS,4.015e-01,1.819e-08,(2008 HJ),,2119-05-04.24
0.2417,bK08H00J,2008 HJ,-7.45,0,IOBS,4.021e-01,2.072e-07,(2008 HJ),,2119-05-04.24
0.0443,bK08H00J,2008 HJ,-7.49,0,IOBS,4.022e-01,1.891e-07,(2008 HJ),,2119-05-03.78
1.0770,bK08H00J,2008 HJ,-8.51,0,IOBS,4.016e-01,1.816e-08,(2008 HJ),,2119-05-03.75
0.4020,bK05U06L,2005 UL6,-9.62,0,IOBS,2.964e+00,2.819e-10,(2005 UL6),,2119-10-25.89
3.0046,bK05U06L,2005 UL6,-7.25,0,IOBS,3.199e+00,2.869e-08,(2005 UL6),,2068-10-28.02
0.1477,bK05U06L,2005 UL6,-7.55,0,IOBS,3.429e+00,1.379e-08,(2005 UL6),,2069-11-02.13
0.0568,bK05U06L,2005 UL6,-6.95,0,IOBS,3.430e+00,5.555e-08,(2005 UL6),,2069-11-02.16
1.0506,bK05U06L,2005 UL6,-9.11,0,IOBS,3.698e+00,5.183e-10,(2005 UL6),,2088-11-06.79
2.1957,bK05U06L,2005 UL6,-9.63,0,IOBS,2.993e+00,1.786e-10,(2005 UL6),,2086-10-25.44
1.3210,bK11M00D,2011 MD,-7.31,0,IOBS,1.203e-02,4.944e-06,(2011 MD),,2123-06-08.19
0.8168,bK11M00D,2011 MD,-8.26,0,IOBS,1.202e-02,5.612e-07,(2011 MD),,2123-06-06.19
1.8323,bK25Y04B,2025 YB4,-8.09,0,IOBS,1.097e-02,8.476e-07,(2025 YB4),,2119-12-21.49
2.3386,bK05U03C,2005 UC3,-9.19,0,IOBS,6.013e-02,1.697e-08,(2005 UC3),,2118-10-07.33
2.1545,bK05U03C,2005 UC3,-9.99,0,IOBS,5.982e-02,2.784e-09,(2005 UC3),,2121-10-05.26
0.7074,bK05U03C,2005 UC3,-10.50,0,IOBS,6.171e-02,7.450e-10,(2005 UC3),,2110-10-05.95
2.5255,bK05U03C,2005 UC3,-7.87,0,IOBS,6.456e-02,3.009e-07,(2005 UC3),,2109-10-05.24
2.1699,bK05U03C,2005 UC3,-10.27,0,IOBS,5.926e-02,1.292e-09,(2005 UC3),,2108-09-30.34
1.5025,bK05U03C,2005 UC3,-8.01,0,IOBS,6.414e-02,2.078e-07,(2005 UC3),,2103-10-05.66
1.1316,bK05U03C,2005 UC3,-8.88,0,IOBS,6.047e-02,2.245e-08,(2005 UC3),,2085-09-30.04
0.8096,bK06B08C,2006 BC8,-8.75,0,IOBS,1.530e+00,3.671e-09,(2006 BC8),,2122-01-24.29
0.8656,bK06B08C,2006 BC8,-7.51,0,IOBS,1.523e+00,6.423e-08,(2006 BC8),,2121-07-26.90
1.4691,bK06B08C,2006 BC8,-9.02,0,IOBS,1.515e+00,1.941e-09,(2006 BC8),,2120-01-24.82
0.5963,bK06B08M,2006 BM8,-7.24,0,IOBS,1.229e+00,1.416e-07,(2006 BM8),,2122-01-22.16
1.7711,bK06B08M,2006 BM8,-6.78,0,IOBS,1.236e+00,3.992e-07,(2006 BM8),,2121-01-22.02
0.8039,bK06WI4Z,2006 WZ184,-8.93,0,IOBS,2.549e-01,1.007e-08,(2006 WZ184),,2121-11-25.65
0.4802,bK06WI4Z,2006 WZ184,-10.01,0,IOBS,2.554e-01,8.308e-10,(2006 WZ184),,2120-11-26.44
1.6496,bK06WI4Z,2006 WZ184,-7.95,0,IOBS,2.585e-01,9.480e-08,(2006 WZ184),,2120-11-25.88
1.6545,bK06WI4Z,2006 WZ184,-8.07,0,IOBS,2.585e-01,7.172e-08,(2006 WZ184),,2120-11-25.84
1.4099,bK06WI4Z,2006 WZ184,-8.51,0,IOBS,2.540e-01,2.625e-08,(2006 WZ184),,2120-11-25.34
1.3247,bK06WI4Z,2006 WZ184,-7.87,0,IOBS,2.577e-01,1.127e-07,(2006 WZ184),,2119-11-26.33
0.5958,bK06WI4Z,2006 WZ184,-8.80,0,IOBS,2.565e-01,1.319e-08,(2006 WZ184),,2119-11-26.20
1.4533,bK21X02C,2021 XC2,-9.02,0,IOBS,1.847e-03,3.366e-07,(2021 XC2),,2102-12-07.21
1.3286,bK21X02C,2021 XC2,-10.05,0,IOBS,1.831e-03,3.166e-08,(2021 XC2),,2102-12-07.19
1.6615,bK21X02C,2021 XC2,-10.39,0,IOBS,1.850e-03,1.432e-08,(2021 XC2),,2102-12-07.18
2.1419,bK21X02C,2021 XC2,-8.72,0,IOBS,1.852e-03,6.290e-07,(2021 XC2),,2096-12-05.73
1.7671,bK21X02C,2021 XC2,-9.50,0,IOBS,1.851e-03,9.508e-08,(2021 XC2),,2090-12-06.13
1.8753,bK21X02C,2021 XC2,-9.14,0,IOBS,1.847e-03,2.089e-07,(2021 XC2),,2088-12-05.80
1.7183,bK21X02C,2021 XC2,-10.10,0,IOBS,1.849e-03,2.257e-08,(2021 XC2),,2086-12-06.17
2.1236,bK21X02C,2021 XC2,-8.02,0,IOBS,1.850e-03,2.662e-06,(2021 XC2),,2085-12-05.97
2.4394,bK08J24L,2008 JL24,-9.69,0,IOBS,1.474e-03,9.579e-08,(2008 JL24),,2111-01-05.49
0.1965,bK08J24L,2008 JL24,-9.54,0,IOBS,1.475e-03,1.308e-07,(2008 JL24),,2109-01-22.84
0.8136,bK06W00V,2006 WV,-9.91,0,IOBS,1.136e-01,1.977e-09,(2006 WV),,2118-11-23.78
1.0934,bK06W00V,2006 WV,-8.90,0,IOBS,1.139e-01,1.892e-08,(2006 WV),,2113-11-23.38
3.9309,bK07K04O,2007 KO4,-8.12,0,IOBS,1.939e+01,1.890e-09,(2007 KO4),,2113-11-24.87
2.8184,bK07K04O,2007 KO4,-7.51,0,IOBS,2.059e+01,7.304e-09,(2007 KO4),,2113-11-24.82
2.9888,bK07K04O,2007 KO4,-6.52,0,IOBS,2.041e+01,6.754e-08,(2007 KO4),,2109-11-24.82
1.7445,bK25D50C,2025 DC50,-11.10,0,IOBS,1.635e-02,6.309e-10,(2025 DC50),,2123-06-14.34
1.8693,bK25D50C,2025 DC50,-10.25,0,IOBS,1.666e-02,4.046e-09,(2025 DC50),,2115-06-14.86
3.3238,bK25D50C,2025 DC50,-9.47,0,IOBS,1.818e-02,2.027e-08,(2025 DC50),,2106-06-17.20
3.5679,bK25D50C,2025 DC50,-11.45,0,IOBS,1.858e-02,1.874e-10,(2025 DC50),,2098-06-17.62
0.3086,bK25U11R,2025 UR11,-9.59,0,IOBS,3.185e-03,7.468e-08,(2025 UR11),,2123-10-31.46
0.1662,bK25U11R,2025 UR11,-7.69,0,IOBS,3.177e-03,5.948e-06,(2025 UR11),,2123-10-31.43
2.7100,bK10R80M,2010 RM80,-9.01,0,IOBS,1.689e-02,7.580e-08,(2010 RM80),,2124-09-06.08
1.2562,bK10R80M,2010 RM80,-9.68,0,IOBS,1.672e-02,1.629e-08,(2010 RM80),,2124-09-05.35
1.1923,bK10R80M,2010 RM80,-9.12,0,IOBS,1.670e-02,5.992e-08,(2010 RM80),,2124-09-05.68
1.0860,bK25V05F,2025 VF5,-8.83,0,IOBS,8.143e-02,2.691e-08,(2025 VF5),,2106-11-25.83
2.5349,bK25U09K,2025 UK9,-11.68,0,IOBS,1.487e-03,1.135e-09,(2025 UK9),,2125-10-31.04
0.9517,bK25U04V,2025 UV4,-6.00,0,IOBS,1.223e-02,4.846e-05,(2025 UV4),,2073-10-15.72
5.7874,bK25T14S,2025 TS14,-8.45,0,IOBS,7.521e-04,2.785e-06,(2025 TS14),,2108-10-05.12
0.9211,bK25T14S,2025 TS14,-10.89,0,IOBS,7.548e-04,8.417e-09,(2025 TS14),,2094-10-07.02
1.5122,bK25X03A,2025 XA3,-8.51,0,IOBS,2.558e-02,1.743e-07,(2025 XA3),,2124-12-17.25
1.6062,bK25X03A,2025 XA3,-7.99,0,IOBS,2.561e-02,5.827e-07,(2025 XA3),,2125-12-16.73
1.8572,bK25S05S,2025 SS5,-9.20,0,IOBS,2.035e-02,4.280e-08,(2025 SS5),,2125-09-29.76
0.7504,bK25S05S,2025 SS5,-9.45,0,IOBS,2.027e-02,2.426e-08,(2025 SS5),,2125-09-25.67
0.1389,bK25S05S,2025 SS5,-8.71,0,IOBS,2.029e-02,1.317e-07,(2025 SS5),,2124-09-29.68
1.0516,bK06D63M,2006 DM63,-11.09,0,IOBS,1.296e-01,1.224e-10,(2006 DM63),,2122-02-24.98
1.0831,bK25T14S,2025 TS14,-9.22,0,IOBS,7.608e-04,4.386e-07,(2025 TS14),,2103-08-28.47
2.0640,bK25T14S,2025 TS14,-8.22,0,IOBS,7.555e-04,4.042e-06,(2025 TS14),,2096-09-14.60
0.9548,bK25T14S,2025 TS14,-8.81,0,IOBS,7.550e-04,9.482e-07,(2025 TS14),,2090-09-23.21
2.1296,bK25V03W,2025 VW3,-5.71,0,IOBS,4.536e-02,2.885e-05,(2025 VW3),,2067-11-17.33
1.7293,bK25S04U,2025 SU4,-9.58,0,IOBS,8.689e-05,1.396e-06,(2025 SU4),,2125-09-26.89
2.8142,bK25S04U,2025 SU4,-9.68,0,IOBS,8.714e-05,1.091e-06,(2025 SU4),,2123-09-28.22
1.0915,bK25S04U,2025 SU4,-10.00,0,IOBS,8.711e-05,5.233e-07,(2025 SU4),,2123-09-28.45
2.3310,bK26B05Z,2026 BZ5,-11.99,0,IOBS,4.640e-05,8.738e-09,(2026 BZ5),,2124-01-13.19
2.3947,bK26B05Z,2026 BZ5,-12.08,0,IOBS,4.632e-05,6.044e-09,(2026 BZ5),,2109-01-11.43
2.0030,bK26B05Z,2026 BZ5,-9.90,0,IOBS,4.629e-05,7.721e-07,(2026 BZ5),,2094-07-07.78
1.5875,bK26B06D,2026 BD6,-9.87,0,IOBS,8.790e-03,1.734e-08,(2026 BD6),,2124-01-21.46
1.9089,bK26B06D,2026 BD6,-6.94,0,IOBS,8.799e-03,1.239e-05,(2026 BD6),,2107-01-21.20
1.6062,bK26B06D,2026 BD6,-8.26,0,IOBS,8.753e-03,5.929e-07,(2026 BD6),,2107-01-21.19
3.6758,bK26B06D,2026 BD6,-11.09,0,IOBS,8.626e-03,8.151e-10,(2026 BD6),,2100-01-20.42
0.5404,bK25D02M,2025 DM2,-8.86,0,IOBS,8.142e-02,2.653e-08,(2025 DM2),,2112-02-26.07
0.8141,bK25D02M,2025 DM2,-8.14,0,IOBS,8.174e-02,1.199e-07,(2025 DM2),,2100-02-25.19
0.4900,bK25D02M,2025 DM2,-8.67,0,IOBS,8.052e-02,3.903e-08,(2025 DM2),,2106-02-25.83
1.7346,bK25D02M,2025 DM2,-11.21,0,IOBS,7.973e-02,1.138e-10,(2025 DM2),,2106-02-25.79
1.2621,bK25D02M,2025 DM2,-7.50,0,IOBS,8.197e-02,5.713e-07,(2025 DM2),,2106-02-25.64
1.0839,bK22B00T,2022 BT,-9.68,0,IOBS,1.168e-03,1.331e-07,(2022 BT),,2122-01-23.58
1.3265,bK22B00T,2022 BT,-10.91,0,IOBS,1.168e-03,7.872e-09,(2022 BT),,2122-01-23.56
0.3641,bK22B00T,2022 BT,-9.81,0,IOBS,1.169e-03,9.904e-08,(2022 BT),,2122-01-23.53
0.3405,bK22B00T,2022 BT,-9.55,0,IOBS,1.172e-03,1.805e-07,(2022 BT),,2122-01-23.51
0.3574,bK22B00T,2022 BT,-8.63,0,IOBS,1.170e-03,1.510e-06,(2022 BT),,2122-01-23.45
0.8970,bK22B00T,2022 BT,-10.75,0,IOBS,1.168e-03,1.149e-08,(2022 BT),,2122-01-23.25
1.1832,bK22B00T,2022 BT,-10.55,0,IOBS,1.172e-03,1.793e-08,(2022 BT),,2122-01-23.21
0.4743,bK22B00T,2022 BT,-7.77,0,IOBS,1.169e-03,1.090e-05,(2022 BT),,2122-01-22.92
0.2916,bK22B00T,2022 BT,-10.22,0,IOBS,1.170e-03,3.813e-08,(2022 BT),,2122-01-22.91
0.8939,bK22B00T,2022 BT,-10.32,0,IOBS,1.172e-03,3.049e-08,(2022 BT),,2122-01-22.85
0.4751,bK22B00T,2022 BT,-7.92,0,IOBS,1.167e-03,7.616e-06,(2022 BT),,2122-01-22.85
0.2771,bK22B00T,2022 BT,-11.40,0,IOBS,1.170e-03,2.518e-09,(2022 BT),,2122-01-22.67
0.3579,bK22B00T,2022 BT,-9.53,0,IOBS,1.171e-03,1.882e-07,(2022 BT),,2122-01-22.59
0.5947,bK22B00T,2022 BT,-9.43,0,IOBS,1.170e-03,2.339e-07,(2022 BT),,2121-01-23.44
0.5619,bK22B00T,2022 BT,-9.74,0,IOBS,1.170e-03,1.157e-07,(2022 BT),,2121-01-23.30
1.0844,bK22B00T,2022 BT,-9.15,0,IOBS,1.171e-03,4.439e-07,(2022 BT),,2121-01-23.23
0.9099,bK22B00T,2022 BT,-9.29,0,IOBS,1.169e-03,3.273e-07,(2022 BT),,2121-01-23.16
0.1241,bK22B00T,2022 BT,-9.70,0,IOBS,1.171e-03,1.265e-07,(2022 BT),,2121-01-23.16
0.3042,bK22B00T,2022 BT,-10.42,0,IOBS,1.170e-03,2.373e-08,(2022 BT),,2121-01-23.09
2.2558,bK22B00T,2022 BT,-10.39,0,IOBS,1.172e-03,2.567e-08,(2022 BT),,2121-01-22.95
0.0021,bK22B00T,2022 BT,-8.82,0,IOBS,1.171e-03,9.439e-07,(2022 BT),,2120-01-24.13
1.4583,bK22B00T,2022 BT,-9.02,0,IOBS,1.167e-03,5.914e-07,(2022 BT),,2120-01-23.82
0.2951,bK22B00T,2022 BT,-9.63,0,IOBS,1.170e-03,1.474e-07,(2022 BT),,2120-01-23.81
1.4659,bK22B00T,2022 BT,-9.87,0,IOBS,1.169e-03,8.372e-08,(2022 BT),,2120-01-23.76
1.0351,bK22B00T,2022 BT,-10.49,0,IOBS,1.172e-03,2.025e-08,(2022 BT),,2120-01-23.62
0.2835,bK22B00T,2022 BT,-10.35,0,IOBS,1.170e-03,2.801e-08,(2022 BT),,2120-01-23.57
0.3682,bK22B00T,2022 BT,-10.67,0,IOBS,1.169e-03,1.331e-08,(2022 BT),,2120-01-23.54
2.1914,bK22B00T,2022 BT,-11.27,0,IOBS,1.170e-03,3.382e-09,(2022 BT),,2120-01-23.25
0.9275,bK22B00T,2022 BT,-10.63,0,IOBS,1.170e-03,1.468e-08,(2022 BT),,2120-01-23.18
0.8853,bK22B00T,2022 BT,-9.06,0,IOBS,1.169e-03,5.422e-07,(2022 BT),,2119-01-23.73
1.3243,bK22B00T,2022 BT,-10.58,0,IOBS,1.170e-03,1.623e-08,(2022 BT),,2119-01-23.71
0.0135,bK22B00T,2022 BT,-9.78,0,IOBS,1.170e-03,1.016e-07,(2022 BT),,2119-01-23.65
0.3467,bK22B00T,2022 BT,-9.15,0,IOBS,1.172e-03,4.405e-07,(2022 BT),,2119-01-23.58
0.2402,bK22B00T,2022 BT,-10.04,0,IOBS,1.171e-03,5.664e-08,(2022 BT),,2119-01-23.58
0.9635,bK22B00T,2022 BT,-9.02,0,IOBS,1.172e-03,5.841e-07,(2022 BT),,2119-01-23.55
0.8146,bK22B00T,2022 BT,-10.44,0,IOBS,1.170e-03,2.254e-08,(2022 BT),,2119-01-23.43
1.1917,bK22B00T,2022 BT,-9.65,0,IOBS,1.171e-03,1.375e-07,(2022 BT),,2119-01-23.40
0.2602,bK22B00T,2022 BT,-10.34,0,IOBS,1.171e-03,2.795e-08,(2022 BT),,2119-01-23.21
0.2614,bK22B00T,2022 BT,-9.67,0,IOBS,1.171e-03,1.317e-07,(2022 BT),,2119-01-23.38
0.2245,bK22B00T,2022 BT,-10.48,0,IOBS,1.170e-03,2.028e-08,(2022 BT),,2119-01-22.95
0.7995,bK22B00T,2022 BT,-10.08,0,IOBS,1.170e-03,5.139e-08,(2022 BT),,2118-01-23.82
1.3335,bK22B00T,2022 BT,-9.53,0,IOBS,1.170e-03,1.812e-07,(2022 BT),,2118-01-23.66
1.0829,bK22B00T,2022 BT,-9.55,0,IOBS,1.170e-03,1.728e-07,(2022 BT),,2118-01-23.78
1.2608,bK21E02O,2021 EO2,-8.80,0,IOBS,1.966e-02,1.060e-07,(2021 EO2),,2121-05-19.46
1.9692,bK21E02O,2021 EO2,-8.75,0,IOBS,1.965e-02,1.183e-07,(2021 EO2),,2121-05-19.27
1.1810,bK21E02O,2021 EO2,-8.89,0,IOBS,1.960e-02,8.594e-08,(2021 EO2),,2121-03-26.99
1.2628,bK21E02O,2021 EO2,-9.59,0,IOBS,1.961e-02,1.716e-08,(2021 EO2),,2121-03-26.82
1.2113,bK21E02O,2021 EO2,-7.12,0,IOBS,1.961e-02,5.030e-06,(2021 EO2),,2121-03-26.82
1.2112,bK21E02O,2021 EO2,-7.08,0,IOBS,1.961e-02,5.577e-06,(2021 EO2),,2121-03-26.81
1.2206,bK21E02O,2021 EO2,-9.08,0,IOBS,1.960e-02,5.592e-08,(2021 EO2),,2121-03-26.62
1.2199,bK21E02O,2021 EO2,-8.68,0,IOBS,1.961e-02,1.387e-07,(2021 EO2),,2121-03-26.27
1.3684,bK21E02O,2021 EO2,-9.46,0,IOBS,1.961e-02,2.284e-08,(2021 EO2),,2120-03-27.08
1.1325,bK21E02O,2021 EO2,-9.40,0,IOBS,1.962e-02,2.644e-08,(2021 EO2),,2120-03-26.87
1.9409,bK22G02B,2022 GB2,-8.08,0,IOBS,4.401e-03,6.255e-07,(2022 GB2),,2058-03-29.88
1.1973,bK22D02O,2022 DO2,-9.46,0,IOBS,1.822e-02,2.346e-08,(2022 DO2),,2116-02-25.31
1.2650,bK22D02O,2022 DO2,-7.69,0,IOBS,1.830e-02,1.334e-06,(2022 DO2),,2113-02-24.65
3.6023,bK22D02O,2022 DO2,-8.91,0,IOBS,1.837e-02,7.442e-08,(2022 DO2),,2107-02-25.16
0.3697,bK21N03M,2021 NM3,-7.92,0,IOBS,1.333e-01,1.672e-07,(2021 NM3),,2117-07-18.06
0.3852,bK21N03M,2021 NM3,-9.00,0,IOBS,1.333e-01,1.385e-08,(2021 NM3),,2117-07-17.75
0.8044,bK21N03M,2021 NM3,-8.17,0,IOBS,1.331e-01,8.945e-08,(2021 NM3),,2113-07-18.38
0.4525,bK21N03M,2021 NM3,-7.63,0,IOBS,1.332e-01,3.077e-07,(2021 NM3),,2112-07-17.91
0.8231,bK21N03M,2021 NM3,-7.95,0,IOBS,1.330e-01,1.474e-07,(2021 NM3),,2112-07-17.90
0.5270,bK21N03M,2021 NM3,-8.41,0,IOBS,1.331e-01,5.028e-08,(2021 NM3),,2111-07-18.63
0.9204,bK21G00T,2021 GT,-8.05,0,IOBS,2.834e-01,6.743e-08,(2021 GT),,2117-10-21.79
2.9905,bK21G00T,2021 GT,-8.95,0,IOBS,2.846e-01,7.573e-09,(2021 GT),,2107-04-10.53
0.7658,bK21G00T,2021 GT,-8.52,0,IOBS,2.865e-01,1.717e-08,(2021 GT),,2095-10-20.70
0.1116,bK21G00R,2021 GR,-9.21,0,IOBS,1.345e-02,5.584e-08,(2021 GR),,2121-04-03.27
1.8210,bK21G00R,2021 GR,-8.79,0,IOBS,1.342e-02,1.424e-07,(2021 GR),,2119-04-03.90
0.3188,bK21G00R,2021 GR,-8.31,0,IOBS,1.345e-02,4.322e-07,(2021 GR),,2119-04-03.85
0.1558,bK21G00R,2021 GR,-9.59,0,IOBS,1.345e-02,2.261e-08,(2021 GR),,2119-04-03.81
0.7550,bK21G00R,2021 GR,-9.36,0,IOBS,1.347e-02,3.724e-08,(2021 GR),,2115-04-03.87
0.7452,bK21G00R,2021 GR,-9.48,0,IOBS,1.345e-02,2.768e-08,(2021 GR),,2113-10-06.89
0.8378,bK21G00R,2021 GR,-9.26,0,IOBS,1.348e-02,4.592e-08,(2021 GR),,2113-10-06.85
0.9243,bK21G00R,2021 GR,-9.68,0,IOBS,1.344e-02,1.735e-08,(2021 GR),,2113-04-03.34
0.6241,bK21G00R,2021 GR,-8.91,0,IOBS,1.345e-02,9.686e-08,(2021 GR),,2109-10-06.97
0.5381,bK21G00R,2021 GR,-8.76,0,IOBS,1.344e-02,1.374e-07,(2021 GR),,2108-04-03.12
0.6317,bK21G00R,2021 GR,-9.34,0,IOBS,1.346e-02,3.410e-08,(2021 GR),,2104-04-03.17
0.9972,bK21G00R,2021 GR,-9.03,0,IOBS,1.346e-02,6.667e-08,(2021 GR),,2100-04-03.19
0.1270,bK21G00R,2021 GR,-8.93,0,IOBS,1.345e-02,8.240e-08,(2021 GR),,2100-04-03.10
0.0459,bK21G00R,2021 GR,-7.51,0,IOBS,1.346e-02,2.172e-06,(2021 GR),,2099-04-02.88
0.9311,bK21G00R,2021 GR,-7.67,0,IOBS,1.344e-02,1.439e-06,(2021 GR),,2097-04-02.43
0.4402,bK21G00R,2021 GR,-8.31,0,IOBS,1.344e-02,3.245e-07,(2021 GR),,2095-04-02.91
0.0874,bK21G00R,2021 GR,-8.52,0,IOBS,1.345e-02,1.875e-07,(2021 GR),,2091-04-02.89
0.1151,bK21G00R,2021 GR,-7.71,0,IOBS,1.343e-02,1.171e-06,(2021 GR),,2089-04-02.47
2.6168,bK21N08L,2021 NL8,-8.47,0,IOBS,1.889e-01,3.685e-08,(2021 NL8),,2120-07-02.83
2.7949,bK21N08L,2021 NL8,-7.49,0,IOBS,1.920e-01,3.359e-07,(2021 NL8),,2118-07-03.51
1.5244,bK21N08L,2021 NL8,-7.50,0,IOBS,1.949e-01,3.235e-07,(2021 NL8),,2118-07-03.17
1.5081,bK17N05T,2017 NT5,-7.51,0,IOBS,6.189e+01,3.047e-09,(2017 NT5),,2115-01-12.25
1.2890,bK17N05T,2017 NT5,-5.74,0,IOBS,6.191e+01,1.798e-07,(2017 NT5),,2115-01-12.24
0.7033,bK17N05T,2017 NT5,-6.07,0,IOBS,6.194e+01,8.469e-08,(2017 NT5),,2115-01-12.20
0.7861,bK18F05K,2018 FK5,-7.46,0,IOBS,1.747e-02,2.244e-06,(2018 FK5),,2110-10-03.93
3.5105,bK18F05K,2018 FK5,-7.49,0,IOBS,1.749e-02,1.527e-06,(2018 FK5),,2087-10-03.21
0.6337,bK17X02Y,2017 XY2,-8.36,0,IOBS,6.414e-02,9.773e-08,(2017 XY2),,2108-06-13.33
0.5024,bK22Y00C,2022 YC,-8.12,0,IOBS,1.892e-03,1.865e-06,(2022 YC),,2079-03-10.28
2.0001,bK18C15A,2018 CA15,-10.30,0,IOBS,2.994e-01,3.612e-10,(2018 CA15),,2116-02-06.38
2.5464,bK18C15A,2018 CA15,-7.97,0,IOBS,2.977e-01,5.818e-08,(2018 CA15),,2094-02-05.09
0.8838,bK22U10V,2022 UV10,-9.30,0,IOBS,1.776e-02,3.247e-08,(2022 UV10),,2111-10-26.41
2.8462,bK22U10V,2022 UV10,-10.51,0,IOBS,1.788e-02,1.782e-09,(2022 UV10),,2101-10-25.75
1.0158,bK17Y08E,2017 YE8,-7.83,0,IOBS,9.950e-01,4.115e-08,(2017 YE8),,2118-12-26.32
