sigma_vi,id,des,ps,ts,method,energy,ip,fullname,sigma_mc,date
2.9835,bK21O01K,2021 OK1,-9.14,0,IOBS,8.825e-02,1.163e-08,(2021 OK1),,2101-07-28.40
0.9590,bK21P01A,2021 PA1,-9.02,0,IOBS,1.340e-01,1.260e-08,(2021 PA1),,2113-12-15.11
1.1924,bK22D02K,2022 DK2,-8.07,0,IOBS,1.060e-01,4.442e-08,(2022 DK2),,2054-02-28.31
0.0731,bK22D04T,2022 DT4,-8.43,0,IOBS,2.045e-01,3.649e-08,(2022 DT4),,2118-02-27.66
1.2355,bK22D04T,2022 DT4,-8.33,0,IOBS,2.049e-01,4.440e-08,(2022 DT4),,2115-02-28.27
1.2150,bK22D04T,2022 DT4,-7.52,0,IOBS,2.048e-01,2.893e-07,(2022 DT4),,2115-02-28.26
0.0599,bK22D04T,2022 DT4,-7.78,0,IOBS,2.045e-01,1.553e-07,(2022 DT4),,2112-02-28.17
0.0820,bK22D04T,2022 DT4,-6.99,0,IOBS,2.042e-01,8.344e-07,(2022 DT4),,2102-02-28.74
1.3758,bK21F02E,2021 FE2,-9.04,0,IOBS,9.648e-02,1.738e-08,(2021 FE2),,2123-03-25.95
1.4691,bK21F02E,2021 FE2,-8.78,0,IOBS,9.667e-02,3.135e-08,(2021 FE2),,2123-03-25.93
0.9934,bK21F01T,2021 FT1,-6.67,0,IOBS,6.495e+00,1.045e-07,(2021 FT1),,2097-03-23.19
1.0578,bK21G00R,2021 GR,-9.52,0,IOBS,1.346e-02,2.730e-08,(2021 GR),,2121-04-03.32
0.4422,bK02RB7C,2002 RC117,-7.41,0,IOBS,2.235e+00,1.950e-08,(2002 RC117),,2057-09-11.80
1.0475,bK21G06W,2021 GW6,-7.58,0,IOBS,5.003e-02,2.776e-07,(2021 GW6),,2057-04-08.60
1.0579,bK21J00V,2021 JV,-8.44,0,IOBS,5.046e-02,4.238e-08,(2021 JV),,2061-05-04.92
1.6961,bK21J03Y,2021 JY3,-8.04,0,IOBS,7.751e-03,1.291e-06,(2021 JY3),,2121-05-15.47
1.9623,bK21G07Z,2021 GZ7,-9.39,0,IOBS,6.324e-03,5.312e-08,(2021 GZ7),,2101-04-06.54
1.9304,bK21G07Z,2021 GZ7,-9.22,0,IOBS,6.263e-03,5.151e-08,(2021 GZ7),,2074-04-06.12
1.6834,bK21L01C,2021 LC1,-8.20,0,IOBS,2.927e-01,4.857e-08,(2021 LC1),,2121-06-06.98
0.5548,bK21O01E,2021 OE1,-7.44,0,IOBS,2.565e-01,2.571e-07,(2021 OE1),,2105-08-03.87
0.5467,bK21O01E,2021 OE1,-8.37,0,IOBS,2.590e-01,2.767e-08,(2021 OE1),,2099-08-02.83
3.7582,bK21O01E,2021 OE1,-7.78,0,IOBS,2.546e-01,9.916e-08,(2021 OE1),,2091-08-03.48
1.4686,bK21P15A,2021 PA15,-7.19,0,IOBS,2.524e-01,5.214e-07,(2021 PA15),,2114-08-06.29
0.5576,bK25Y04K,2025 YK4,-5.54,0,IOBS,5.383e-01,8.739e-06,(2025 YK4),,2086-12-21.23
2.2979,bJ98B13T,1998 BT13,-8.68,0,IOBS,1.773e-01,2.045e-08,(1998 BT13),,2107-01-23.96
0.5916,bJ98B13T,1998 BT13,-8.09,0,IOBS,1.756e-01,5.915e-08,(1998 BT13),,2087-01-22.84
2.8357,bK08B15E,2008 BE15,-8.98,0,IOBS,4.486e+00,7.201e-10,(2008 BE15),,2102-01-21.42
0.5886,bK21F02F,2021 FF2,-9.54,0,IOBS,1.835e-02,1.760e-08,(2021 FF2),,2108-03-22.05
0.4494,bK21F02F,2021 FF2,-9.20,0,IOBS,1.834e-02,3.883e-08,(2021 FF2),,2108-03-21.97
1.3768,bK21F02F,2021 FF2,-9.84,0,IOBS,1.844e-02,5.249e-09,(2021 FF2),,2075-03-21.94
0.5069,bK21G02E,2021 GE2,-4.01,0,IOBS,7.523e-03,7.309e-04,(2021 GE2),,2030-04-03.50
0.3885,bK21G01G,2021 GG1,-7.63,0,IOBS,2.227e-01,2.253e-07,(2021 GG1),,2122-09-13.52
2.5509,bK21G16L,2021 GL16,-8.32,0,IOBS,1.680e-01,5.192e-08,(2021 GL16),,2111-04-09.10
1.9173,bK21G12U,2021 GU12,-9.24,0,IOBS,2.443e-02,2.968e-08,(2021 GU12),,2113-10-19.99
1.7096,bK21G12U,2021 GU12,-9.95,0,IOBS,2.433e-02,4.654e-09,(2021 GU12),,2096-04-04.64
1.2898,bK21S01O,2021 SO1,-8.31,0,IOBS,8.095e-02,1.039e-07,(2021 SO1),,2119-10-13.58
1.2889,bK21S01O,2021 SO1,-6.45,0,IOBS,8.090e-02,7.127e-06,(2021 SO1),,2115-10-13.81
0.8878,bK21S01O,2021 SO1,-7.20,0,IOBS,8.092e-02,1.259e-06,(2021 SO1),,2115-10-13.58
2.2561,bK21S01O,2021 SO1,-7.91,0,IOBS,7.894e-02,2.416e-07,(2021 SO1),,2111-10-10.93
0.4960,bK21S01O,2021 SO1,-7.37,0,IOBS,8.075e-02,7.544e-07,(2021 SO1),,2103-10-12.62
1.9805,bK21R00N,2021 RN,-8.79,0,IOBS,2.415e-01,1.350e-08,(2021 RN),,2115-08-31.11
1.9603,bK21R00N,2021 RN,-8.73,0,IOBS,2.422e-01,1.498e-08,(2021 RN),,2112-08-30.64
0.3276,bK21R00N,2021 RN,-7.90,0,IOBS,2.526e-01,9.733e-08,(2021 RN),,2111-09-02.80
2.3174,bK21P04K,2021 PK4,-9.53,0,IOBS,2.116e-02,9.771e-09,(2021 PK4),,2076-08-06.85
0.7169,bK21U00U,2021 UU,-9.09,0,IOBS,1.607e-01,9.989e-09,(2021 UU),,2119-10-24.56
2.5832,bK21U00U,2021 UU,-9.28,0,IOBS,1.610e-01,4.466e-09,(2021 UU),,2091-10-22.50
0.3255,bK21V01G,2021 VG1,-7.43,0,IOBS,3.033e-01,1.513e-07,(2021 VG1),,2077-11-01.75
1.9394,bK24V02A,2024 VA2,-8.81,0,IOBS,2.581e-01,1.332e-08,(2024 VA2),,2123-11-07.91
0.7371,bK21R06G,2021 RG6,-8.92,0,IOBS,4.830e-03,2.450e-07,(2021 RG6),,2121-09-11.71
1.9887,bK15T01B,2015 TB1,-8.21,0,IOBS,1.863e-01,5.265e-08,(2015 TB1),,2100-09-22.83
0.6304,bK22C03L,2022 CL3,-7.69,0,IOBS,1.652e-02,1.110e-06,(2022 CL3),,2093-02-13.69
0.0776,bK22D04T,2022 DT4,-6.00,0,IOBS,2.043e-01,7.907e-06,(2022 DT4),,2099-02-27.97
2.2004,bK23X07H,2023 XH7,-9.87,0,IOBS,8.897e-02,1.779e-09,(2023 XH7),,2088-12-11.87
0.8099,bK23X13P,2023 XP13,-7.27,0,IOBS,1.401e+00,8.539e-08,(2023 XP13),,2095-06-01.68
3.4431,bK23O00Y,2023 OY,-8.21,0,IOBS,6.105e-02,1.296e-07,(2023 OY),,2100-07-16.97
0.5695,bK00L06G,2000 LG6,-7.85,0,IOBS,3.079e-03,4.222e-06,(2000 LG6),,2122-05-24.20
2.0142,bK00L06G,2000 LG6,-10.05,0,IOBS,3.079e-03,2.665e-08,(2000 LG6),,2122-05-23.04
0.6913,bK00L06G,2000 LG6,-7.00,0,IOBS,3.078e-03,2.940e-05,(2000 LG6),,2122-05-22.96
0.7948,bK00L06G,2000 LG6,-8.15,0,IOBS,3.084e-03,2.079e-06,(2000 LG6),,2122-05-16.75
0.4924,bK00L06G,2000 LG6,-9.40,0,IOBS,3.075e-03,1.173e-07,(2000 LG6),,2121-05-26.19
0.7464,bK15C13T,2015 CT13,-9.20,0,IOBS,3.003e-01,4.835e-09,(2015 CT13),,2122-02-12.96
3.4577,bK15HI2L,2015 HL182,-6.86,0,IOBS,7.739e+01,6.568e-09,(2015 HL182),,2077-10-19.00
6.4797,bK15HI2R,2015 HR182,-6.26,0,IOBS,7.224e+02,5.300e-09,(2015 HR182),,2087-10-20.68
1.1969,bK16U36R,2016 UR36,-9.04,0,IOBS,7.452e-02,2.043e-08,(2016 UR36),,2118-03-30.68
2.8625,bK16U36R,2016 UR36,-9.88,0,IOBS,8.250e-02,2.394e-09,(2016 UR36),,2107-04-08.32
2.4445,bK16J11X,2016 JX11,-8.25,0,IOBS,3.236e+00,4.397e-09,(2016 JX11),,2092-05-03.86
1.4707,bK23H36O,2023 HO36,-8.61,0,IOBS,6.248e-04,2.629e-06,(2023 HO36),,2123-04-21.02
2.2346,bK19J02Y,2019 JY2,-9.95,0,IOBS,1.979e-03,4.751e-08,(2019 JY2),,2122-05-07.10
0.8601,bK25C08B,2025 CB8,-9.54,0,IOBS,2.196e-03,1.039e-07,(2025 CB8),,2116-01-30.05
1.8405,bK16T94G,2016 TG94,-9.11,0,IOBS,2.006e-03,3.216e-07,(2016 TG94),,2121-10-10.24
1.2706,bK16T94G,2016 TG94,-9.23,0,IOBS,2.010e-03,2.416e-07,(2016 TG94),,2121-10-10.23
1.6268,bK16T94G,2016 TG94,-9.71,0,IOBS,2.012e-03,8.054e-08,(2016 TG94),,2121-10-10.21
1.4234,bK16T94G,2016 TG94,-11.15,0,IOBS,1.994e-03,2.913e-09,(2016 TG94),,2120-10-09.77
6.8624,bK16V17Z,2016 VZ17,-11.34,0,IOBS,5.137e-02,1.281e-10,(2016 VZ17),,2111-08-20.77
6.8500,bK16V17Z,2016 VZ17,-9.30,0,IOBS,5.093e-02,1.243e-08,(2016 VZ17),,2101-08-20.59
6.7203,bK16V17Z,2016 VZ17,-10.43,0,IOBS,5.079e-02,7.907e-10,(2016 VZ17),,2090-08-19.83
5.9475,bK16V17Z,2016 VZ17,-9.26,0,IOBS,4.888e-02,1.173e-08,(2016 VZ17),,2089-08-19.66
5.5276,bK16V17Z,2016 VZ17,-9.79,0,IOBS,4.766e-02,3.229e-09,(2016 VZ17),,2083-08-19.98
3.0385,a0443104,443104,-5.29,0,IOBS,3.379e+00,4.456e-06,443104 (2013 XK22),,2101-06-20.32
1.2443,bJ94G00K,1994 GK,-5.76,0,IOBS,6.173e+00,5.098e-07,(1994 GK),,2067-04-04.15
1.3282,bJ94G00K,1994 GK,-6.30,0,IOBS,6.158e+00,1.381e-07,(1994 GK),,2064-04-03.38
0.6978,bJ94G00K,1994 GK,-8.09,0,IOBS,6.220e+00,2.203e-09,(1994 GK),,2064-04-03.36
2.0119,bJ94G00K,1994 GK,-6.72,0,IOBS,6.103e+00,4.869e-08,(1994 GK),,2061-04-03.68
1.9168,bJ94G00K,1994 GK,-4.21,0,IOBS,6.091e+00,1.585e-05,(1994 GK),,2061-04-03.64
0.2892,bK01U05F,2001 UF5,-7.18,0,IOBS,1.014e+02,1.618e-09,(2001 UF5),,2058-10-29.21
0.4730,bK19H04N,2019 HN4,-9.38,0,IOBS,7.401e-03,4.695e-08,(2019 HN4),,2099-04-26.71
1.6530,bK18C00N,2018 CN,-7.86,0,IOBS,4.543e-01,4.455e-08,(2018 CN),,2082-02-07.99
1.0415,bK18C00N,2018 CN,-8.42,0,IOBS,4.570e-01,1.223e-08,(2018 CN),,2082-02-07.95
1.0138,bK08U92A,2008 UA92,-7.13,0,IOBS,5.009e-02,1.308e-06,(2008 UA92),,2078-11-01.80
1.3876,bK08U00S,2008 US,-8.77,0,IOBS,4.530e-04,4.595e-07,(2008 US),,2044-04-17.20
1.3510,bK08U00S,2008 US,-9.30,0,IOBS,4.524e-04,1.075e-07,(2008 US),,2040-04-17.16
0.3689,bK20C01E,2020 CE1,-7.09,0,IOBS,8.331e-01,2.681e-07,(2020 CE1),,2121-01-25.06
3.4450,bK23H39W,2023 HW39,-11.31,0,IOBS,7.181e-05,2.969e-08,(2023 HW39),,2123-04-15.80
1.7271,bK25U00N,2025 UN,-6.67,0,IOBS,7.200e-03,3.330e-05,(2025 UN),,2125-10-18.36
1.0295,bK26A01S,2026 AS1,-8.37,0,IOBS,1.734e-01,5.124e-08,(2026 AS1),,2124-04-02.44
1.2713,bK20D00W,2020 DW,-8.34,0,IOBS,5.381e-04,4.731e-06,(2020 DW),,2108-12-23.83
1.2745,bK20D00W,2020 DW,-9.09,0,IOBS,5.368e-04,9.675e-07,(2020 DW),,2121-12-24.11
1.2711,bK20D00W,2020 DW,-10.22,0,IOBS,5.388e-04,6.529e-08,(2020 DW),,2112-12-23.13
5.6148,bK12K42T,2012 KT42,-11.82,0,IOBS,1.211e-02,1.313e-10,(2012 KT42),,2109-05-31.43
0.5125,bK16CO8B,2016 CB248,-8.16,0,IOBS,1.551e-01,8.799e-08,(2016 CB248),,2121-02-14.91
1.0472,bK16C31E,2016 CE31,-8.35,0,IOBS,3.520e-02,1.858e-07,(2016 CE31),,2120-07-23.45
0.3229,bK19A00B,2019 AB,-8.83,0,IOBS,2.512e-01,1.301e-08,(2019 AB),,2122-01-04.98
1.3001,bK19A00B,2019 AB,-9.14,0,IOBS,2.504e-01,6.244e-09,(2019 AB),,2120-01-05.53
0.7796,bK16C31E,2016 CE31,-8.10,0,IOBS,3.519e-02,3.282e-07,(2016 CE31),,2119-07-24.20
